store_number,store_name,address,city,zip_code,county_number
4380,Kum & Go #2091 / Ashworth / WDM,5969 ASHWORTH RD,WEST DES MOINES,50266,77
4381,Kum & Go #254 / West Branch,620 S DOWNEY ST,WEST BRANCH,52358,16
4382,Kum & Go #443 / Williamsburg,2177 M AVE,WILLIAMSBURG,52361,48
4383,Kum & Go #8 / 8th St / WDM,1293 8TH AVE,WEST DES MOINES,50265,77
4384,Kum & Go #500 / Creston,903 N SUMMER AVE,CRESTON,50801,88
4385,Kum & Go #2093 / Adel,409 NILE KINNICK DR,ADEL,50003,25
4386,Kum & Go #43 / New Virginia,1453 CO HWY G76,NEW VIRGINIA,50210,91
4387,KUM & GO #701 / MARSHALLTOWN,613 N. 3RD AVE N,MARSHALLTOWN,50158,64
4388,KUM & GO #117 / SPIRIT LAKE,300 18TH ST,SPIRIT LAKE,51360,30
4389,QUIK TRIP #566 / CLIVE,11925 UNIVERSITY AVE,CLIVE,50325,77
4390,KUM & GO #651 / ALBIA,204 S MAIN ST,ALBIA,52531,68
4391,KUM & GO #233 / CLARINDA,1400 E WASHINGTON ST,CLARINDA,51632,73
4392,KUM & GO #236 / GREENFIELD,508 SE KENT ST,GREENFIELD,50849,1
4393,KUM & GO #156 / CLIVE,15600 HICKMAN RD,CLIVE,50325,77
4394,KUM & GO #206 / CLIVE,1725 NW 86TH ST,CLIVE,50325,77
4395,KUM & GO #606 / HARLAN,702 CHATBURN AVE,HARLAN,51537,83
4396,KUM & GO #133 / ELLSWORTH,1111 IA HIGHWAY 175,ELLSWORTH,50075,40
4397,"Trunck's Country Foods, INC.",606 GRUNDY AVE,REINBECK,50669,38
4398,Quik Trip #514 / Ankeny,802 E 1ST ST,ANKENY,50021,77
4399,KUM & GO #4786 / BELMOND,112 RIVER AVE S,BELMOND,50421,99
4400,KUM & GO #59 / WAUKEE,33083 UTE AVE,WAUKEE,50263,25
4401,Kum & Go #174 / OSKALOOSA,413 A AVE W,OSKALOOSA,52577,62
4402,KUM & GO #503 / MARION,3215 7TH AVE,MARION,52302,57
4403,KUM & GO #80 / RIVERSIDE,1178 ENTERPRISE DR,RIVERSIDE,52327,92
4404,KUM & GO #4098 / WINDSOR HEIGHTS,7229 Universty Ave,Windsor Heights,50311,77
4405,KUM & GO #292 / ANKENY,1825 N ANKENY BLVD,ANKENY,50021,77
4406,KUM & GO #92 / ANKENY,1025 E  1ST ST,ANKENY,50021,77
4407,KUM & GO #4020 / ANKENY,1910 SW WHITE BIRCH CIRCLE,ANKENY,50023,77
4408,KUM & GO #1272 / KNOXVILLE,1201 E MAIN ST,KNOXVILLE,50138,63
4409,KUM & GO #2217 / BOONE,315 STORY ST,BOONE,50036,8
4410,Kum & Go #90 / BOONE,1704 S STORY ST,BOONE,50036,8
